687;Jablonovce;200
688;Jur nad Hronom;969
689;Kalna nad Hronom;2069
690;Kozarovce;2047
691;Krskany;759
692;Kubanovo;276
693;Kukucinov;601
694;Kuralany;514
695;Ket;608
696;Lok;958
697;Lontov;686
698;Lula;173
699;Malas;463
700;Male Ludince;169
701;Mytne Ludany;964
702;Nova Dedina;1514
703;Novy Tekov;857
704;Nyrovce;514
705;Ondrejovce;462
706;Pastovce;499
707;Pecenice;116
708;Plastovce;1558
709;Plave Vozokany;785
710;Podluzany okres Levice;773
711;Pohronsky Ruskov;1266
712;Pukanec;1856
713;Rybnik okres Levice;1423
714;Santovka;671
715;Sazdice;478
716;Sikenica;646
717;Slatina;316
718;Stary Hradok;186
719;Stary Tekov;1452
720;Sahy;7368
721;Salov;373
722;Sarovce;1647
723;Tehla;510
724;Tekovske Luzany;2867
725;Tekovsky Hradok;349
726;Tlmace;3612
727;Tupa;603
728;Tura;207
729;Uhliska;182
730;Velke Ludince;1474
731;Velke Turovce;752
732;Velky Dur;1263
733;Vyskovce nad Iplom;677
734;Vysne nad Hronom;183
735;Zalaba;179
736;Zbrojniky;504
737;Zeliezovce;6945
738;Zemberovce;1260
739;Zemliare;161
740;Hontianske Trstany;317
741;Cata;979
742;Jesenske okres Levice;51
743;Bohunice okres Levice;141
744;Male Kozmalovce;333
745;Velke Kozmalovce;703
746;Hrkovce;276
747;Nitra;77374
748;Aleksince;1657
749;Bab;1103
750;Branc;2218
751;Cakajovce;1159
752;Celadice;965
753;Cifare;599
754;Dolne Obdokovce;1158
755;Golianovo;1668
756;Hrubonovo;515
757;Jarok;2002
758;Jelenec;2123
759;Jelsovce;1022
760;Kapince;187
761;Klasov;1373
762;Kolinany;1596
763;Lehota;2216
764;Lucnica nad Zitavou;931
765;Lukacovce;1148
766;Velke Chyndice;322
767;Male Zaluzie;270
768;Melek;451
769;Mojmirovce;2888
770;Nova Ves nad Zitavou;1345
771;Nove Sady;1283
772;Pana;371
773;Podhorany okres Nitra;1100
774;Pohranice;1077
775;Polny Kesov;651
776;Risnovce;2059
777;Rumanova;831
778;Surianky;599
779;Tajna;282
780;Velka Dolina;651
781;Velke Zaluzie;4233
782;Velky Cetin;1592
783;Vinodol;1985
784;Vrable;8731
785;VycapyOpatovce;2186
786;Zbehy;2248
787;Zirany;1367
788;Zitavce;382
789;CabajCapor;4181
790;Horne Lefantovce;883
791;Maly Lapas;814
792;Velky Lapas;1363
793;Cechynce;1160
794;Maly Cetin;402
795;Hostova;362
796;Telince;419
797;Svatoplukovo;1323
798;Nitrianske Hrnciarovce;2086
799;Male Chyndice;381
800;Ivanka pri Nitre;2613
801;Luzianky;2973
802;Ludovitova;245
803;Babindol;738
804;Stefanovicova;345
805;Cab;785
806;Dolne Lefantovce;586
807;Badice;344
808;Stitare;872
809;Nove Zamky;38486
810;Andovce;1434
811;Bajtava;401
812;Banov;3734
813;Bardonovo;721
814;Bela okres Nove Zamky;344
815;Besenov;1630
816;Bina;1432
817;Branovo;578
818;Bruty;599
819;Cechy;310
820;Cernik;1034
821;Dedinka;722
822;Dolny Ohaj;1563
823;Dubnik;1612
824;Dvory nad Zitavou;5120
825;Gbelce;2186
826;Hul;1182
827;Chlaba;711
828;Jasova;1170
829;Jatov;764
830;Kamenica nad Hronom;1360
